millis,stamp,datetime,light,temp,vcc
1000,988952621," ""2001/5/4 5:3:41""",1023,841.12, 
1998,988952622," ""2001/5/4 5:3:42""",1023,841.12, 
2999,988952623," ""2001/5/4 5:3:43""",1023,841.12, 
3999,988952624," ""2001/5/4 5:3:44""",1023,841.12, 
5000,988952625," ""2001/5/4 5:3:45""",1023,841.12, 
5999,988952626," ""2001/5/4 5:3:46""",1023,841.12, 
7000,988952627," ""2001/5/4 5:3:47""",1023,841.12, 
7998,988952628," ""2001/5/4 5:3:48""",1023,841.12, 
8999,988952629," ""2001/5/4 5:3:49""",1023,841.12, 
9999,988952630," ""2001/5/4 5:3:50""",1023,841.12, 
10998,988952631," ""2001/5/4 5:3:51""",1023,841.12, 
12000,988952632," ""2001/5/4 5:3:52""",1023,841.12, 
12999,988952633," ""2001/5/4 5:3:53""",1023,841.12, 
14000,988952634," ""2001/5/4 5:3:54""",1023,841.12, 
14999,988952635," ""2001/5/4 5:3:55""",1023,841.12, 
16000,988952636," ""2001/5/4 5:3:56""",1023,841.12, 
16999,988952637," ""2001/5/4 5:3:57""",1023,841.12, 
17998,988952638," ""2001/5/4 5:3:58""",1023,841.12, 
18999,988952639," ""2001/5/4 5:3:59""",1023,841.12, 
19999,988952640," ""2001/5/4 5:4:0""",1023,841.12, 
21000,988952641," ""2001/5/4 5:4:1""",1023,841.12, 
21999,988952642," ""2001/5/4 5:4:2""",1023,841.12, 
23000,988952643," ""2001/5/4 5:4:3""",1023,841.12, 
23999,988952644," ""2001/5/4 5:4:4""",1023,841.12, 
24999,988952645," ""2001/5/4 5:4:5""",1023,841.12, 
26000,988952646," ""2001/5/4 5:4:6""",1023,841.12, 
26999,988952647," ""2001/5/4 5:4:7""",1023,841.12, 
27999,988952648," ""2001/5/4 5:4:8""",1023,841.12, 
28999,988952649," ""2001/5/4 5:4:9""",1023,841.12, 
30000,988952650," ""2001/5/4 5:4:10""",1023,841.12, 
30998,988952651," ""2001/5/4 5:4:11""",1023,841.12, 
32000,988952652," ""2001/5/4 5:4:12""",1023,841.12, 